latitude,longitude,date_local,aqi
39.835556,-75.3725,2017-07-13,50
39.835556,-75.3725,2017-07-08,27
39.835556,-75.3725,2017-07-14,32
39.835556,-75.3725,2017-07-25,28
39.835556,-75.3725,2017-07-23,11
39.835556,-75.3725,2017-07-11,43
39.835556,-75.3725,2017-07-03,47
39.835556,-75.3725,2017-07-29,13
39.835556,-75.3725,2017-07-28,29
39.835556,-75.3725,2017-07-17,23
39.835556,-75.3725,2017-07-26,27
39.835556,-75.3725,2017-07-21,29
39.835556,-75.3725,2017-07-15,20
39.835556,-75.3725,2017-07-18,15
39.835556,-75.3725,2017-07-16,22
39.835556,-75.3725,2017-07-06,23
39.835556,-75.3725,2017-07-06,29
39.835556,-75.3725,2017-07-22,32
39.835556,-75.3725,2017-07-30,22
39.835556,-75.3725,2017-07-31,39
39.835556,-75.3725,2017-07-07,17
39.835556,-75.3725,2017-07-04,54
39.835556,-75.3725,2017-07-20,54
39.835556,-75.3725,2017-07-19,28
39.835556,-75.3725,2017-07-02,38
39.835556,-75.3725,2017-07-10,48
39.835556,-75.3725,2017-07-12,39
39.835556,-75.3725,2017-07-18,35
39.835556,-75.3725,2017-07-24,24
39.835556,-75.3725,2017-07-09,45
39.835556,-75.3725,2017-07-05,52
39.835556,-75.3725,2017-07-30,35
39.835556,-75.3725,2017-07-12,56
40.309722,-78.915,2017-07-13,67
40.309722,-78.915,2017-07-31,62
40.309722,-78.915,2017-07-29,38
40.309722,-78.915,2017-07-19,65
40.309722,-78.915,2017-07-14,45
40.309722,-78.915,2017-07-15,52
40.309722,-78.915,2017-07-05,66
40.309722,-78.915,2017-07-24,35
40.309722,-78.915,2017-07-08,52
40.309722,-78.915,2017-07-20,59
40.309722,-78.915,2017-07-28,49
40.309722,-78.915,2017-07-11,43
40.309722,-78.915,2017-07-23,35
40.309722,-78.915,2017-07-07,42
40.309722,-78.915,2017-07-17,52
40.309722,-78.915,2017-07-30,59
40.309722,-78.915,2017-07-04,73
40.309722,-78.915,2017-07-16,46
40.309722,-78.915,2017-07-22,55
40.309722,-78.915,2017-07-21,58
40.309722,-78.915,2017-07-06,39
40.309722,-78.915,2017-07-02,55
40.309722,-78.915,2017-07-10,54
40.309722,-78.915,2017-07-09,54
40.309722,-78.915,2017-07-26,44
40.309722,-78.915,2017-07-18,62
40.309722,-78.915,2017-07-03,59
40.309722,-78.915,2017-07-25,36
40.309722,-78.915,2017-07-27,55
40.309722,-78.915,2017-07-12,61
40.43743,-79.863571999999991,2017-07-28,54
40.43743,-79.863571999999991,2017-07-21,57
40.43743,-79.863571999999991,2017-07-10,59
40.43743,-79.863571999999991,2017-07-04,54
40.43743,-79.863571999999991,2017-07-15,36
40.43743,-79.863571999999991,2017-07-24,35
40.43743,-79.863571999999991,2017-07-29,20
40.43743,-79.863571999999991,2017-07-18,60
40.43743,-79.863571999999991,2017-07-08,35
40.43743,-79.863571999999991,2017-07-06,49
40.43743,-79.863571999999991,2017-07-20,70
